1. ID: 174 | So nha: 154.48.20 | Ma KN:  | SysID: SYS-20263927-846 | Title:  | ND: 154.48.20 Phạm Văn Hai 102 3 4.2 24 13.5 tỷ Tân Sơn Hòa Tân Bình 10-15 tỷ HĐ Lục
2. ID: 224 | So nha: Thửa 427 | Ma KN:  | SysID: SYS-20263427-734 | Title:  | ND: Thửa 427 tờ 100 16,479 1 175 93 79.9 tỷ Vĩnh Lộc Bình Chánh 50-100 tỷ HĐ Cao Văn
3. ID: 269 | So nha: 1025.35G | Ma KN:  | SysID: SYS-20263027-179 | Title:  | ND: 1025.35G cách mạng tháng 8 50 4 3.5 15 10.5 tỷ Phường 7 Tân Bình 10-15 tỷ HĐ Hoà
4. ID: 279 | So nha: 1A227.1 | Ma KN:  | SysID: SYS-20262827-186 | Title:  | ND: 1A227.1 Vĩnh Lộc 457 2 9 61 25 tỷ Phạm Văn Hai Bình Chánh 25-50 tỷ HĐ Lê Viết Ph
5. ID: 437 | So nha: Thửa đất số 152 + 570 tờ bản đồ số 7 | Ma KN:  | SysID: SYS-20261227-515 | Title:  | ND: Thửa đất số 152 + 570 tờ bản đồ số 7 Vĩnh Lộc 1,557 1 31 50 49 tỷ Phạm Văn Hai B
6. ID: 474 | So nha: 128.25A | Ma KN:  | SysID: SYS-20260927-779 | Title:  | ND: 128.25A Phạm Văn Hai 48 5 5.8 9 12.8 tỷ Phường 3 Tân Bình 10-15 tỷ HĐ Trưởng phò
7. ID: 631 | So nha: THUA342-139-138-125TO25 | Ma KN:  | SysID: SYS-20265327-860 | Title:  | ND: THUA342-139-138-125TO25 ĐT 830 7,900 1 60 130 75 tỷ Phạm Văn Hai Bình Chánh 50-1
8. ID: 782 | So nha: 202.47.5 | Ma KN:  | SysID: SYS-20263827-213 | Title:  | ND: 202.47.5 Phạm Văn Hai 45 2 3.5 15 8 tỷ Phường 5 Tân Bình 5-10 tỷ HĐ Đinh Công Ho
9. ID: 784 | So nha: 274 | Ma KN:  | SysID: SYS-20263827-520 | Title:  | ND: 274 Phạm Văn Hai 16.9 3 2.5 7 7.6 tỷ Phường 5 Tân Bình 5-10 tỷ HĐ Nguyễn Minh Đứ
10. ID: 810 | So nha: 190 | Ma KN:  | SysID: SYS-20263527-224 | Title:  | ND: 190 Thanh Niên 3,335/3,334 1 30 130 43 tỷ Phạm Văn Hai Bình Chánh 25-50 tỷ HĐ Vũ
11. ID: 811 | So nha: 190 | Ma KN:  | SysID: SYS-20263527-372 | Title:  | ND: 190 Thanh Niên 3,335 1 30 130 43 tỷ Phạm Văn Hai Bình Chánh 25-50 tỷ HĐ Vũ Văn T
12. ID: 842 | So nha: 766.95.27 | Ma KN:  | SysID: SYS-20263227-585 | Title:  | ND: 766.95.27 Cách Mạnh Tháng 8 70 5 4.7 15 16.5 tỷ Tân Sơn Nhất Tân Bình 15-25 tỷ H
